GeneSymbol combined_pval
P2RY10 1.32809362213217e-11
EIF4B 8.56995633878045e-14
LRRN3 8.56995633878045e-14
FCER1A 2.8986617028228e-12
PABPC1 2.81584279702786e-13
GPR15 6.04165007496511e-11
RPLP2 3.28514992986584e-13
CD40LG 2.1281974222125e-10
ETS1 6.95106061063902e-11
PTGDR2 7.0823246217327e-09
ST13 1.77398096212755e-11
HBG2 1.19542371705579e-06
BANK1 3.33191013800194e-08
ESYT1 1.76851566724423e-10
CASS4 9.42832576788616e-09
HVCN1 2.09804151453127e-11
EIF3L 1.71075732196787e-12
LBH 3.09102743401013e-11
PLVAP 4.52120127119607e-07
SHISA4 2.2743345668302e-13
RPL13 6.26525022338699e-12
FBL 1.78989953073508e-09
TIGD3 4.09406381246673e-07
FBXO7 1.96212625786664e-07
RPL4 1.76360680445429e-12
CA5B 8.79150918731142e-11
NELL2 7.36161034908811e-10
TRAF5 4.68910354989305e-10
CD3E 7.01941011310422e-09
GPR183 3.10631921187916e-11
PAQR8 6.4364474742914e-10
MS4A1 4.07074335084432e-07
CD200R1 8.9038132712182e-09
GCSAM 1.53540543209999e-08
RPL22 4.59056477041779e-12
PID1 9.70971183108235e-09
RPS6KA5 1.91683540049546e-07
S1PR1 6.48658985931879e-09
GCNT4 1.17154714716123e-08
LY9 3.32370317245656e-08
OXNAD1 2.6584837917272e-08
RPL3 3.0301534131323e-10
BTF3 7.31063186178359e-11
CD96 4.92659031618883e-09
IL7R 1.49060057698352e-07
SRSF8 9.69097284244493e-09
CCR6 5.57221158103971e-09
TMEM204 2.05191141969921e-08
DYRK2 8.47625707149452e-09
CD28 2.14433570029975e-07
RFTN1 2.00320891072189e-07
NOG 4.01538263108526e-09
EEF1A1 3.04111022079009e-12
CCR7 2.66661520494772e-06
ITK 1.22903426088705e-06
RPL23A 3.04111022079009e-12
CLC 0.000113765839328701
LCK 1.4526795215848e-07
TBC1D4 6.84971930954653e-08
SLC4A7 1.1970811233305e-06
RPS26 1.03162720547287e-05
ZNF91 2.60296553580443e-06
CD8B 6.09141554189433e-08
UBASH3A 8.47448816647661e-07
DZIP3 1.4614306080813e-06
DPP4 2.55055773950055e-07
TC2N 3.77719613941263e-09
BAG1 1.70365404902604e-06
ALDH5A1 4.79115077367134e-05
THEMIS 6.9033836309009e-07
RPS12 2.17641182853612e-11
CD1C 4.88637335722003e-11
CD3G 5.06670869941615e-07
ACSL6 3.37618565359962e-05
OPTN 2.05519379819412e-06
SLC25A39 0.000636543624581476
RPL21 5.93760431768344e-12
RPL5 1.42439142242107e-11
FCMR 7.16738213849057e-07
RORA 2.72831719646818e-06
TRAT1 8.48346243499022e-05
CCR3 5.00210573969572e-06
TESC 0.000207108289137961
ABCD2 5.24222185602105e-06
CD4 1.61211785331304e-06
CD8A 5.69897648569594e-06
RTN1 3.84718866126104e-06
LDHB 1.41530712979897e-06
GRAP 7.71999306433761e-07
PDZK1IP1 0.000448252627940827
TCL1A 0.00104815709739128
SFRP2 0.00769407204806405
HBB 3.18443245583003e-08
ALDH1A1 2.63763463325246e-05
GYPC 0.00251633267357204
PAGE2B 0.0042785680803419
RPS4Y1 0.0234663564429617
