GeneSymbol combined_pval
CDC6 0
CLSPN 0
CDCA2 0
RRM2 0
MS4A4A 1.44814772418576e-12
EPSTI1 1.50189509951522e-10
SLC26A8 0
KIFC1 0
DHCR24 4.50534847524458e-13
CD38 2.03679295651682e-12
HFE 6.3475036313408e-09
KIAA1958 1.28120847264768e-11
INSC 2.28900769306781e-12
SHCBP1 0
SMTNL1 3.34402086366877e-10
KLHDC8B 9.45688089710316e-10
GTSE1 0
CEP55 8.56995633878045e-14
OTOF 2.0998789712717e-10
AK4 7.24998605211771e-12
TRIP13 2.2743345668302e-13
CDCA5 8.56995633878045e-14
CACNA1A 1.12228934479042e-10
HPD 4.46045620286601e-10
ZWINT 4.31011670798398e-12
GSTO2 1.1216865579777e-08
ETV7 2.67115648507225e-08
PNPLA1 6.26525022338699e-12
ADCY4 1.28237364897748e-10
TUFT1 2.0998789712717e-10
EPHB2 5.07993312951539e-09
SPATC1 6.79785658658092e-11
OASL 3.66849099535382e-09
MZB1 2.70657128550141e-12
ANKRD22 3.96742674817155e-09
CCNB2 1.12633711881114e-12
HP 5.19321864423281e-11
LY6E 1.44271739369965e-08
TICRR 4.50534847524458e-13
BATF2 8.67030537130977e-09
KIF20A 4.18109991073834e-13
SLC1A3 1.82700851497778e-10
HECW2 7.4170198103534e-07
SDC1 2.13265470856864e-12
PLK1 5.3272701565392e-13
BIRC5 4.92772489479876e-13
PTGFR 1.506995939449e-09
UBE2C 4.18109991073834e-13
CES1 1.07678492825839e-07
CDC45 2.81584279702786e-13
RGMA 2.93524326291734e-11
ADAMTS2 4.8299885851872e-10
ITGA7 6.28429857171983e-12
CDK1 4.85191374257108e-12
KLHDC7B 3.22416198793569e-07
ALDH1A2 3.86005116759236e-10
ATP2C2 2.00476939095771e-09
DUSP13 1.83710794007502e-10
MYO10 1.28851592810143e-10
KIAA0319 5.00006137996935e-08
E2F7 1.08917960561325e-11
TCN2 7.43262107392515e-09
ORC1 1.01081536303564e-12
CHEK1 5.11485368827213e-12
UPB1 1.43854538522245e-09
SPAG5 1.1826539747517e-12
FBXO39 2.75430255269882e-08
TWIST2 1.77551750040258e-08
CIT 2.23605614898409e-11
SKA1 1.45860656886043e-12
TRIM69 3.48838621928786e-07
SPATS2L 9.84887722411714e-08
SORCS2 2.02447415492489e-08
LILRB4 1.27064732398426e-09
CCNA2 2.59825494453025e-12
PPARG 7.75449978739155e-11
C1QC 1.33731510032487e-08
E2F8 7.25719484506726e-12
GADD45B 6.78127495620321e-09
NOS1AP 6.1710277913326e-11
IRF7 7.37546428952276e-08
ADAM9 1.18728603615281e-10
PBK 1.15298807538503e-10
LIPM 5.94291064458125e-08
CMPK2 1.25443362451766e-06
PIF1 9.5442250593997e-12
ARHGAP29 1.04102255731108e-08
FOXM1 4.18190707288327e-12
IFI44L 3.10804644622067e-06
KCNN3 1.08917960561325e-11
JUN 9.43606894748698e-12
TDRD9 2.2629235845097e-09
AURKB 1.1416709162207e-11
LRRN1 3.96156146874169e-09
TXNDC5 2.41127278586651e-10
HMGB3 4.97152689386364e-11
HJURP 8.81803402227146e-13
CAV1 1.1820259618629e-09
MYO7A 2.58141565325019e-07
CDC25A 1.27299559782301e-12
SIGLEC1 3.14638075977388e-06
HSD17B13 1.05251481393663e-06
FGF13 4.07071191786833e-08
WDR62 7.57528359567288e-11
PIWIL4 3.08896509001699e-07
PAX3 1.49933011332908e-07
SCO2 1.99441431928861e-07
ABCA13 5.4793490793978e-07
GINS1 3.26740532440525e-11
C1QB 7.4170198103534e-07
GPR84 1.83521117641803e-09
OLAH 4.42308501544615e-08
TCF19 7.67869393677690e-09
PRR16 1.53789510847697e-07
OR2B6 2.0115822628309e-09
ASGR2 6.4886429065111e-08
GALNT14 9.11106050939998e-11
OPLAH 1.19192242282969e-09
IQGAP3 4.33119208320236e-09
GUCY2C 1.66246578292291e-07
HELZ2 1.36296304788536e-08
KIF18B 1.8351527194423e-12
VEGFA 2.1726913697684e-06
IL27 8.83362132516237e-08
ARHGAP23 3.8611762189382e-12
CLTCL1 1.60490580220535e-08
GGH 8.14490620542599e-11
FAT2 7.53489240842445e-09
KIAA1614 1.39088486408711e-08
CDCA3 6.1710277913326e-11
USP18 1.18623617093142e-06
NR1I3 4.94695356623561e-08
CENPW 5.30623235387673e-10
EXO1 1.98665119442939e-11
BEND7 3.29860450121439e-08
RNASE1 7.20357568467351e-10
CA12 4.03459503379124e-09
ACOXL 3.48033717787273e-10
GLDN 8.58097071372571e-08
ACSS3 1.76698163459805e-07
JAG1 2.39474141640312e-09
CAPN13 6.47789440507038e-08
VWA7 1.11859880110922e-07
PKMYT1 6.96609157583288e-11
ESCO2 3.97330639432507e-10
STAC3 3.85648274019627e-07
CC2D2B 8.1229271116836e-07
KCNMA1 7.4170198103534e-07
MOV10 1.88617041078548e-05
G0S2 1.65114192777398e-09
JCHAIN 2.75430255269882e-08
CXCL10 9.71434962151127e-05
HMCN1 1.69681813427204e-06
CHRNA2 5.15639417664193e-07
FLT3 2.833266004099e-06
FBN1 2.04065638237574e-05
FANCA 1.03745034785163e-09
NTSR1 2.66637972307587e-09
MDK 1.08521878619882e-07
PNKD 5.70653243063918e-07
MLNR 5.84731788921765e-07
IFI6 1.95765789309225e-06
PDCD1LG2 3.70078036366031e-06
KCND1 3.36477570673735e-10
ARFGEF3 9.86047074172005e-08
DNAH14 5.7544651887723e-05
ZDHHC19 2.21986370590316e-07
SCN1B 3.762587204003e-09
CFAP54 1.19777865169625e-07
DRC1 9.2538511428456e-06
