baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.7637846093125,-1.58162606557675,0.447362836183537,-3.53544357655999,0.00040709117214965,0.00293274453684205
A1BG_AS1,4.7647807884574,-1.92065780449386,0.819570202163871,-2.34349394282862,0.0191040724452725,0.0537316906820025
A1CF,17.7016515010351,-4.01504474415146,1.48700572575442,-2.70008694291641,0.00693213576582389,0.0255737154967547
A2M,341.388743169202,-0.662454327310027,0.509431971075303,-1.30037839186207,0.193471312105405,0.276886736195461
A2M_AS1,73.0728880583006,-0.745939339374994,0.500205569798352,-1.4912655604289,0.135891787082669,0.215195345061146
A2ML1,26.9884570167439,-2.58486910917666,1.44260211791489,-1.79181014437493,0.0731633832844479,0.140128477906993
A2MP1,25.8071467393687,-0.800273262659691,0.564392073767847,-1.417938521562,0.156208714531813,0.237510018695368
A3GALT2,9.59957343672474,1.23449591208046,0.739406568142375,1.66957661085146,0.0950031611664941,0.167943518702667
A4GALT,10.2929349686537,-4.40235494929558,1.37182195921936,-3.20912996013036,0.00133137299003571,0.00732498391716361
A4GNT,5.81503638205741,-5.379196758892,2.07358532078282,-2.59415260369477,0.00948243879939571,0.0322774499298195
AA06,2.3906612025452,-3.59990716261665,2.78121499263121,-1.29436493480531,0.195539396697145,0.279103663932568
AAAS,46.1521127641284,-1.07759689595047,0.420935758017126,-2.56000322003204,0.010467119342617,0.0346779947708678
AACS,41.0023446812409,-1.07997983694131,0.439951371302864,-2.45477093012138,0.0140974388782482,0.0430548555869149
AACSP1,7.40450165460903,-5.76540928510441,2.92082476843294,-1.97389769746359,0.0483933766451233,0.103945007879813
AADAC,3.42982304925866,-4.97122270465503,2.24637405652284,-2.2129986278198,0.0268977402510323,0.0685494768189534
AADACL2,3.2970136257414,-3.44122239191773,2.2937944587237,-1.50023136503367,0.133554481250857,0.212719589184116
AADACL2_AS1,1.83370790017054,-2.34419281881917,2.6002786753192,-0.901515995600514,0.367314032991212,NA
AADACL3,9.83881893269723,-6.23581001654926,2.76467169653746,-2.25553364052561,0.0240998531787249,0.0635413476583588
AADACL4,5.86605454141559,-4.91126380803003,2.57420433994663,-1.90787643848501,0.0564071882204707,0.116046305880792
AADACP1,2.04219428730024,-4.17866885382134,2.59299083666549,-1.61152472840782,0.107065401903898,0.182647639700848
AADAT,5.94921532139128,-3.1894751194437,2.45634995798489,-1.29846120218971,0.194128900061599,0.277634321674976
AAED1,26.345682131023,0.311647016622941,0.36682845072084,0.849571553162074,0.39556333310872,0.479126776695294
AAGAB,134.850058248044,0.441483046330844,0.160368971518554,2.75292060646386,0.00590662185118624,0.0226180153457174
AAK1,697.812898782331,-0.274052490560041,0.211713142220048,-1.29445195364962,0.195509354987615,0.27907842133708
AAMDC,10.8824012002572,-0.649469107347615,0.378444954512441,-1.71615211037584,0.0861342056865289,0.157351859211377
AAMP,110.506153394164,-0.607247780953545,0.193311047822132,-3.14129889519962,0.00168200278619279,0.00876916734214316
AANAT,20.8672816368145,-0.0306442686302571,0.681790342793849,-0.0449467625262667,0.96414974337832,0.974025852308076
AAR2,66.1882060110207,-0.542843860682303,0.3165624014007,-1.71480838621507,0.0863803634917421,0.157669447488259
AARD,3.24020393139737,-2.7793626495768,1.92708803971071,-1.44226033907305,0.149228944252623,0.230308576325371
AARS,198.581102266586,-0.162053755175604,0.256111482369905,-0.632746933780764,0.526898915451708,0.603510092579208
AARS2,98.8420807243831,-1.50505084420268,0.36003445543466,-4.18029669517512,2.9112899586858e-05,0.000366303530456372
AARSD1,0.496220320166315,-2.61079529236823,2.89038602067003,-0.903268723865128,0.36638329156649,NA
AASDH,63.014688952701,0.27252217197782,0.232661266745499,1.17132591853341,0.241467797135491,0.326951450737714
AASDHPPT,60.2720282941175,0.603969376868513,0.248704230041903,2.4284644324978,0.0151629122880551,0.0454786685293126
AASS,29.7514401916818,-0.681300880831522,0.488242287485699,-1.39541555144684,0.162890564388728,0.245046519464426
AATBC,94.9444500723845,-1.30053345906001,0.476263753879185,-2.73070005530993,0.00631999622127339,0.0238491419644878
AATF,249.66728376905,0.143198619585015,0.15673566468667,0.913631366997957,0.360910578651444,0.445662406716395
AATK,185.759631467628,0.236567908998777,0.469031007634271,0.50437584114533,0.613997291597456,0.683345430972678
AATK_AS1,6.41867059009743,-5.01653459751225,2.21693860118662,-2.26282071809618,0.0236467432219016,0.0626171527338079
ABALON,114.502115974899,-1.56699848561311,0.385119056881637,-4.06886768549268,4.72421642815006e-05,0.000536162954923463
ABAT,99.7627549100836,0.575644826418248,0.339192565284747,1.69710331337895,0.0896771299142633,0.161675117462395
ABCA1,800.55180782298,1.1270032803954,0.471199739766034,2.391773987301,0.0167671639705646,0.0489269721333628
ABCA10,24.3692042164098,-0.467322476948017,0.624939504108739,-0.74778834411259,0.454587833769682,0.536492983523451
ABCA11P,12.1786416272428,-0.625011031000031,0.368254292309231,-1.69722673721124,0.0896538020552944,0.161663163227052
ABCA12,34.5346367263384,2.4197274498496,1.6566657811221,1.46060085107248,0.144125012601709,0.224440695691209
ABCA13,121.717552583089,2.94481450335751,0.840952573743569,3.50176049791777,0.000462194894733028,0.0032408170436341
ABCA17P,14.1771719992965,-3.81222498115168,1.5325927591754,-2.48743507257781,0.0128667937507858,0.0403494219468895
ABCA2,402.588459071914,-0.383152921500103,0.354023429061137,-1.08228125611973,0.27912757213176,0.364483189569471
ABCA3,52.1623122487638,-2.37505530117981,0.665954727510483,-3.56639153243704,0.000361930512023475,0.00268301559471001
ABCA4,42.3069249009189,-6.09921643366508,2.00874101967518,-3.03633787229145,0.00239470854949639,0.0114679902568794
ABCA5,140.87489898466,0.168554777774223,0.28614345457247,0.589056905131945,0.555823101049385,0.630215610080845
ABCA6,19.1951480481796,-1.10457480372334,0.854031815190693,-1.29336493568065,0.195884871545853,0.279423415819638
ABCA7,661.810076846065,-0.0745773903380205,0.366319451417829,-0.203585668326841,0.838677293611461,0.874331918215235
ABCA8,16.6691096074361,-5.0443287398215,2.04395886941006,-2.46792086441418,0.0135900360002205,0.0419190061547364
ABCA9,16.5326723635831,-1.98653020002856,1.12639493661149,-1.76361783550324,0.0777963428315417,0.146358217646845
ABCA9_AS1,1.58342457931482,0.320696997110248,3.67481503128311,0.0872688813940855,0.930457788676181,NA
ABCB1,113.019980750755,1.29322958408936,0.47569521784249,2.71860959619227,NA,NA
ABCB10,334.696086343496,-1.22945122600616,0.387733275350226,-3.17086849173736,0.00151983931645113,0.00812439549397606
ABCB11,11.9485708905541,-1.58054000204061,1.76273344512784,-0.896641523657019,0.369910233228571,0.454168122721787
ABCB4,30.6281018008833,-1.3700451311414,0.624177800878555,-2.19495972015187,0.0281664872650977,0.0708554371666552
ABCB5,25.8955096812486,-0.391609432849679,0.789183869163614,-0.496220777123474,0.619738653557798,0.688615442812303
ABCB6,53.5548553655086,-0.58098371022705,0.462129876362965,-1.2571870808256,0.208685900292996,0.292398477456251
ABCB7,106.278394888473,0.288171258635398,0.185590830984791,1.55272357533122,0.120489187588413,0.197822644786588
ABCB8,78.0350324562267,-1.82834308035049,0.457310399823659,-3.99803520990449,6.38704519073247e-05,0.000683980159472228
ABCB9,19.0784767707381,-2.50882049881291,0.905282361505876,-2.77131269258318,0.00558307833013904,0.0216993618170864
ABCC1,322.397413507529,-0.745699321197501,0.263182135079915,-2.83339642704499,0.0046056230255036,0.0187588811597834
ABCC10,131.839336695218,-1.59152840174943,0.415939206273723,-3.82634860514225,0.000130058074938534,0.00119794519677275
ABCC11,26.1610725086094,-3.52028676159587,1.9497592048012,-1.80549821379344,0.0709967547759494,0.137327945860968
ABCC12,26.0148398886366,0.664041280472556,2.47377502778838,0.268432364711122,0.788366529901404,0.833501454818051
ABCC13,135.503401918956,0.499094774539006,0.516829550763609,0.965685444653079,0.334201605004906,0.419493316791852
ABCC2,47.1919237788365,0.551300968183414,0.571149420795286,0.965248231217262,0.334420494502785,0.41967971435556
ABCC3,207.183404940972,-1.14528427023093,0.409676940465134,-2.79557904560265,0.00518068310205214,0.0205309225934107
ABCC4,780.487622198508,0.551031602011505,0.388835148106018,1.41713423978139,0.156443683548243,0.237739240542126
ABCC5,179.322571455124,-0.0388045594566206,0.326227602414226,-0.118949344474379,0.905315488000981,0.928544518460588
ABCC5_AS1,3.24160157553653,-1.51714856665652,0.946494113457952,-1.60291389569632,0.108953665374482,0.184821881664615
