baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.7637846093125,-0.733744193805148,0.406577399506063,-1.80468514653433,0.0711239654494189,0.16771092291093
A1BG_AS1,4.7647807884574,-1.28125306296556,0.721643279212675,-1.77546593985248,0.0758209846269181,0.174160019363224
A1CF,17.7016515010351,-2.72946456470386,1.31117536728645,-2.08169298539572,0.0373705217682461,0.114333848362929
A2M,341.388743169202,0.758109451747275,0.481820610634699,1.57342677962369,0.115620030201941,0.227607830126012
A2M_AS1,73.0728880583006,0.714057027931407,0.477145214082261,1.49651931289895,0.134518378954802,0.249730728724136
A2ML1,26.9884570167439,-2.72745885346172,1.34243164951762,-2.03173014763306,0.0421809821435988,0.122393997367492
A2MP1,25.8071467393687,0.470128177564092,0.54222011609205,0.867043039554586,0.385918428134952,0.479406462471734
A3GALT2,9.59957343672474,-2.19408688301397,0.703491652094713,-3.11885276318612,0.00181556662467741,0.0241545896956189
A4GALT,10.2929349686537,-2.15279824496455,1.10407622546371,-1.94986378233114,0.0511923569035922,0.137865624015479
A4GNT,5.81503638205741,-3.04051733562288,1.79710358831934,-1.69189876164366,0.0906652781589738,0.195080312531375
AA06,2.3906612025452,-2.85035064450933,2.51668995599021,-1.13257917914161,0.25739101629595,NA
AAAS,46.1521127641284,-1.06619948285332,0.394386758748377,-2.70343630764126,0.00686265988704063,0.04615144117121
AACS,41.0023446812409,-1.43250611904328,0.410356093614513,-3.4908854561545,0.000481422604842593,0.0125705438077037
AACSP1,7.40450165460903,-2.84374055993967,2.64451958777081,-1.07533352110158,0.282225433511104,0.389665985373324
AADAC,3.42982304925866,-1.99158462456148,1.98078210904297,-1.00545366169716,0.314678451679334,0.417162900458195
AADACL2,3.2970136257414,-2.7683682556968,2.03461437183817,-1.36063535872683,0.17362895174627,0.292483312583583
AADACL2_AS1,1.83370790017054,-2.90684769208396,2.35108141538415,-1.23638750792005,0.216314557310098,NA
AADACL3,9.83881893269723,-2.59592255205529,2.49005648233869,-1.04251552945384,0.297172729392409,0.402420202379305
AADACL4,5.86605454141559,-2.44144009878517,2.30673875190516,-1.05839471278174,0.289875528901221,0.396000010823873
AADACP1,2.04219428730024,-2.3016855657231,2.33189614218066,-0.987044630371358,0.323620759828909,NA
AADAT,5.94921532139128,-2.57802107981208,2.24709239636309,-1.1472697268633,0.251270161646726,0.363643714938638
AAED1,26.345682131023,-0.753104109462747,0.356599224155998,-2.11190619173443,0.0346944962106102,0.108853649859124
AAGAB,134.850058248044,-0.366364549792305,0.157968781759571,-2.31922121390993,0.0203830447828144,0.0802995002127123
AAK1,697.812898782331,0.0659415159852508,0.200684517204746,0.328582976423511,0.742470917071319,0.795563856361714
AAMDC,10.8824012002572,-0.75697162581058,0.361924596839333,-2.09151749403376,0.0364816998961229,0.112717960732133
AAMP,110.506153394164,0.332944877146015,0.189001447553218,1.76159961448055,0.0781369691263681,0.177628140995346
AANAT,20.8672816368145,-1.58575245769638,0.643444536861478,-2.46447419606853,0.0137214443147264,0.064733185748486
AAR2,66.1882060110207,-0.742401441721593,0.300267049884818,-2.47247056247556,0.0134182764103261,0.064180069688724
AARD,3.24020393139737,-2.7847072381881,1.69950015449964,-1.6385448573307,0.101308084595612,0.209144051506467
AARS,198.581102266586,0.0375378294596971,0.244731586743324,0.153383672125115,0.87809572027832,0.907687840291529
AARS2,98.8420807243831,-0.499241618463993,0.338319969683651,-1.47564927642555,0.140038069406408,0.255683333557576
AARSD1,0.496220320166315,-1.98574838698587,2.6577793806412,-0.747145681635472,0.454975627990248,NA
AASDH,63.014688952701,0.26186087699764,0.232377944659256,1.12687491655723,0.259795370001138,0.37073891222605
AASDHPPT,60.2720282941175,0.455561515371699,0.250636443416653,1.81761881537069,0.0691224138286868,0.165006522270811
AASS,29.7514401916818,-1.09188525375667,0.459730025448898,-2.37505751922666,0.017546215695556,0.0739590089968822
AATBC,94.9444500723845,-0.0185605993880613,0.450104663434415,-0.0412361854828144,0.967107606351336,0.975387830438553
