baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.7637846093125,-2.31537025938189,0.528048045701035,-4.38477195064327,1.16107349474779e-05,8.92250660586919e-05
A1BG_AS1,4.7647807884574,-3.20191086745942,0.954092862546768,-3.35597402847406,0.000790859952717952,0.00271193865825888
A1CF,17.7016515010351,-6.74450930885531,1.73936568897606,-3.87756832942112,0.000105505701129281,0.000532360662424352
A2M,341.388743169202,0.0956551244372484,0.609756129812236,0.156874395779676,0.87534383919298,0.892638529025948
A2M_AS1,73.0728880583006,-0.0318823114435865,0.601710824587772,-0.05298610252762,0.957742980734817,0.963429126261843
A2ML1,26.9884570167439,-5.31232796263838,1.71499633231103,-3.09757394960711,0.00195111710132698,0.00560119711911675
A2MP1,25.8071467393687,-0.330145085095599,0.68171972298513,-0.484282724944428,0.62818523424656,0.66917811364391
A3GALT2,9.59957343672474,-0.959590970933509,0.875185382674108,-1.09644309643461,0.272884912731298,0.320930422976665
A4GALT,10.2929349686537,-6.55515319426013,1.56481349132229,-4.1890955251932,2.8006849507324e-05,0.000182609415789792
A4GNT,5.81503638205741,-8.41971409451488,2.41156289606841,-3.49139311615783,0.000480508679187915,0.00181143735312087
AA06,2.3906612025452,-6.45025780712598,3.27012191728075,-1.97248236313148,0.0485545677262116,0.0747236669943351
AAAS,46.1521127641284,-2.14379637880379,0.501007736963807,-4.27896860794119,1.8776133927096e-05,0.000131887509217409
AACS,41.0023446812409,-2.51248595598458,0.522205464204959,-4.81129771364948,1.49953455002769e-06,1.68915932256214e-05
AACSP1,7.40450165460903,-8.60914984504408,3.44513457351146,-2.4989299144472,0.0124568944298024,0.0250647815193601
AADAC,3.42982304925866,-6.96280732921652,2.62591844357075,-2.65157029010712,0.00801184347575961,0.0175291629274612
AADACL2,3.2970136257414,-6.20959064761453,2.67474389696267,-2.32156456349555,0.0202563938548825,0.036962201739955
AADACL2_AS1,1.83370790017054,-5.25104051090313,3.04759306841683,-1.72301235533094,0.0848862907523246,0.118238257807184
AADACL3,9.83881893269723,-8.83173256860455,3.25706120495723,-2.71156481651701,0.0066966447113154,0.0151634255546172
AADACL4,5.86605454141559,-7.3527039068152,3.02561007699069,-2.43015580980888,0.0150923332031918,0.0292097402029319
AADACP1,2.04219428730024,-6.48035441954444,3.04393601353019,-2.12893910737265,0.0332592986837501,0.0550134282678498
