baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.7637846093125,-1.15921129125709,0.419769821111081,-2.76154033224397,0.00575294105376101,0.0308594375190438
A1BG_AS1,4.7647807884574,-1.98705983736519,0.746846095804139,-2.660601492769,0.00780012151344578,0.0371369709398075
A1CF,17.7016515010351,-1.99185579432746,1.31303796723457,-1.51698263419036,0.129271068554059,0.228322926277299
A2M,341.388743169202,0.00566776751465038,0.482575293225079,0.011744835664446,0.990629192391353,0.992897777376219
A2M_AS1,73.0728880583006,-0.0403846779308865,0.480390784083115,-0.0840663044940916,0.933003714898628,0.946216046337133
A2ML1,26.9884570167439,-2.87880068917613,1.3463507043499,-2.13822496610657,0.0324984890213904,0.0924878306366221
A2MP1,25.8071467393687,-0.391144045356395,0.550135692610738,-0.710995579109167,0.47708697534683,0.550918050011939
A3GALT2,9.59957343672474,-1.8221057857587,0.711206136213291,-2.56199390441178,0.0104073145073286,0.0445535968024923
A4GALT,10.2929349686537,-0.76956486063193,1.1031419946634,-0.697611789193782,0.485420006826831,0.558691389162586
A4GNT,5.81503638205741,-4.53859311191508,1.82036411558921,-2.49323367399277,0.0126585508227042,0.0505418204352523
AA06,2.3906612025452,-3.83855215403995,2.53113200626141,-1.51653574153552,0.129383939812254,0.228505517179792
AAAS,46.1521127641284,-1.2320118308191,0.398606516263166,-3.09079701548508,0.00199620046214351,0.0168074632825178
AACS,41.0023446812409,-1.71985644024783,0.415727785304841,-4.13697737086951,3.51910799436205e-05,0.00195932803260951
AACSP1,7.40450165460903,-2.90873856297332,2.65062201639138,-1.09737961315712,0.272475481574966,0.365263117028043
AADAC,3.42982304925866,-1.83881080739151,1.98886436743556,-0.924553145754463,0.355198394667469,0.439960231171709
AADACL2,3.2970136257414,-0.920420180565091,2.02661801432974,-0.454165597096748,0.649709642526765,0.705738009429956
AADACL2_AS1,1.83370790017054,-2.94949307407122,2.35694555210306,-1.25140484108317,0.210786811951114,0.309318467281591
AADACL3,9.83881893269723,-2.38214100434998,2.49387574837575,-0.955196346851466,0.339478412890917,0.425488095132258
AADACL4,5.86605454141559,-1.81469040959726,2.31005883936798,-0.785560254427869,0.432125157152939,0.509183845659873
AADACP1,2.04219428730024,-3.33993803375278,2.34803978539766,-1.42243672978783,0.154899506754552,0.255845456427336
AADAT,5.94921532139128,-2.40546873391283,2.25321714080812,-1.06757075931444,0.285714179464215,0.377481434031974
AAED1,26.345682131023,-0.16008322347608,0.359147786606242,-0.445730781160544,0.655791727077573,0.711154989377932
AAGAB,134.850058248044,-0.0581605162636693,0.159702846005438,-0.364179585514018,0.715723910230622,0.762448866912276
AAK1,697.812898782331,-0.249215240860767,0.201349763990395,-1.2377230343943,0.215818775133272,0.313908734441579
AAMDC,10.8824012002572,-1.07362835595489,0.37490411574546,-2.86374118304911,0.00418669947221159,0.0254757911261571
AAMP,110.506153394164,-0.197453221011642,0.192666889769978,-1.02484252093018,0.305437499440733,0.395696767810741
AANAT,20.8672816368145,-1.41400661525005,0.648355630277075,-2.18091206309997,0.0291899213030251,0.0862265045534938
AAR2,66.1882060110207,-0.425319294215083,0.302472228748867,-1.40614328784615,0.159681580490908,0.260634139471579
AARD,3.24020393139737,-3.20460905713792,1.71429308883175,-1.86934724173787,0.0615745195346462,0.140070103405595
AARS,198.581102266586,0.150712548352325,0.245951293085792,0.6127739621184,0.540025809769339,0.60765209614208
AARS2,98.8420807243831,-1.02187224767655,0.341309202514005,-2.99397801216514,0.00275365788151732,0.0201845470535582
AARSD1,0.496220320166315,-2.38777915187847,2.6650914049649,-0.895946438246054,0.370281370472801,NA
AASDH,63.014688952701,-0.183071159932312,0.237329395938763,-0.771380044213106,0.440481699991242,0.516829571173191
AASDHPPT,60.2720282941175,0.0879508373962874,0.255312616374105,0.344482927030189,0.730483133498789,0.77524865486213
AASS,29.7514401916818,-1.30956654949131,0.465564230667912,-2.81285902830758,0.00491031729662559,0.0280097530721259
AATBC,94.9444500723845,-0.239245305274006,0.451986632991807,-0.529319426307775,0.596583881727685,0.658457918429565
AATF,249.66728376905,0.281438946798584,0.154062995755775,1.82677836048787,0.0677331007602389,0.149281424711771
AATK,185.759631467628,0.0683690678840814,0.445226690395259,0.153560128714173,0.877956576645987,0.901397710186053
AATK_AS1,6.41867059009743,-1.90974138031978,1.9518297322466,-0.978436463370003,0.32785850129574,0.414748316226933
ABALON,114.502115974899,1.14740234466833,0.363865968326888,3.15336537226678,0.00161399655810151,0.0150589632351238
ABAT,99.7627549100836,-1.19639826511043,0.327359093723575,-3.65469690028125,0.000257485989951472,0.00527955941236103
ABCA1,800.55180782298,1.10907227140857,0.445386902031291,2.49013221168021,0.0127695583246421,0.0507661119720536
ABCA10,24.3692042164098,-1.74171420372943,0.592609966725253,-2.93905654903864,0.00329213002104082,0.0222607173782288
ABCA11P,12.1786416272428,-0.722238238120505,0.386104294645318,-1.87057810062425,0.0614035823589422,0.139839832974878
ABCA12,34.5346367263384,-2.38883439411756,1.56666744669025,-1.52478715196657,0.12731219553228,0.225940021137681
ABCA13,121.717552583089,-1.13466860638372,0.796103229816296,-1.42527823514238,0.154076789017962,0.254990627397796
ABCA17P,14.1771719992965,-2.7346049459144,1.37051808606088,-1.99530744885984,0.04600935798862,0.115870123111702
ABCA2,402.588459071914,0.151205766099319,0.334980447474106,0.451386841349919,0.651710765468106,0.707462527456516
ABCA3,52.1623122487638,-1.94586094024786,0.620559166445756,-3.13565739652635,0.00171469388649236,0.0155407045314925
ABCA4,42.3069249009189,-2.78524464775198,1.78989148100799,-1.55609693509657,0.119685043724971,0.217205960139787
ABCA5,140.87489898466,-0.247316014143713,0.276159312207568,-0.895555584081932,0.370490166581163,0.453726052601839
