baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,11.7637846093125,-0.425467097451942,0.312258581905645,-1.36254733130283,0.173025217547736,0.382710565932366
A1BG_AS1,4.7647807884574,-0.705806774399634,0.564960804232087,-1.24930219780289,0.211554564382681,NA
A1CF,17.7016515010351,0.737608770376399,0.953863724007456,0.773285273159873,0.439353569419037,0.69692055139295
A2M,341.388743169202,-0.752441684232625,0.347271103464949,-2.16672702313848,0.0302556748061077,0.112001511782243
A2M_AS1,73.0728880583006,-0.754441705862294,0.344854918812449,-2.18770753933367,0.0286909125385331,0.107841483086149
A2ML1,26.9884570167439,-0.151341835714402,0.975983160897302,-0.155066031646756,0.87676926104052,0.973317000701148
A2MP1,25.8071467393687,-0.861272222920486,0.395532260935818,-2.17750183229742,0.0294431452480852,0.109774165928412
A3GALT2,9.59957343672474,0.371981097255264,0.535337677168586,0.694853198494605,0.487147305235297,0.741121454095361
A4GALT,10.2929349686537,1.38323338433262,0.806333032066649,1.71546163845895,0.0862606228642494,0.23474059231647
A4GNT,5.81503638205741,-1.4980757762922,1.34083001066832,-1.11727494490185,0.263876784882367,NA
AA06,2.3906612025452,-0.988201509530624,1.85688371824852,-0.532182763960434,0.594599419428734,NA
AAAS,46.1521127641284,-0.165812347965781,0.291659517985473,-0.568513412869455,0.569686400704604,0.812574426943069
AACS,41.0023446812409,-0.28735032120455,0.306085293004272,-0.938791662886393,0.347837720227009,0.604316555916462
AACSP1,7.40450165460903,-0.0649980030336494,1.92040950612769,-0.0338459077744888,0.973000027788092,NA
AADAC,3.42982304925866,0.152773817169974,1.45130994122466,0.1052661549614,0.916164618158607,NA
AADACL2,3.2970136257414,1.84794807513171,1.48808176863478,1.24183234690596,0.21429842538411,NA
AADACL2_AS1,1.83370790017054,-0.0426453819872559,1.74033469438945,-0.0245041267778764,0.980450492011827,NA
AADACL3,9.83881893269723,0.21378154770531,1.80396969914883,0.118506174358792,0.90566660314078,0.9817448765724
AADACL4,5.86605454141559,0.626749689187912,1.67586712020348,0.373985312816336,0.708415243310961,NA
AADACP1,2.04219428730024,-1.03825246802968,1.72374366246028,-0.602324168402043,0.546958376205046,NA
AADAT,5.94921532139128,0.172552345899253,1.63674297577358,0.105424216540596,0.916039201113972,NA
AAED1,26.345682131023,0.593020885986667,0.261715843311564,2.26589601333648,0.0234577507735772,0.0937178485626949
AAGAB,134.850058248044,0.308204033528636,0.115209815737333,2.67515429615226,0.00746948642142128,0.0419622383716462
AAK1,697.812898782331,-0.315156756846018,0.145070387435273,-2.17244030582488,0.0298224676260755,0.110881047566196
AAMDC,10.8824012002572,-0.316656730144305,0.27985001818564,-1.13152299291347,0.257835031422596,0.498255865030903
AAMP,110.506153394164,-0.530398098157656,0.137666878233548,-3.8527647678467,0.000116791579535879,0.00235627011713636
AANAT,20.8672816368145,0.171745842446322,0.475554283540905,0.361148765536351,0.71798824013102,0.912970156441713
AAR2,66.1882060110207,0.31708214750651,0.21998870087909,1.44135651621846,0.149483988308133,0.346623239506246
AARD,3.24020393139737,-0.419901818949819,1.27064815907172,-0.330462698074171,0.741050373530348,NA
AARS,198.581102266586,0.113174718892627,0.176804715534726,0.640111427742993,0.522100160060026,0.772029004431408
AARS2,98.8420807243831,-0.522630629212557,0.247678589108221,-2.11011630474121,0.0348483392146617,0.123392188004961
AARSD1,0.496220320166315,-0.402030764892604,1.94849601082113,-0.20632875954577,0.836534114947867,NA
AASDH,63.014688952701,-0.444932036929952,0.169246654057693,-2.62889709345913,0.00856622787193504,0.0460670446627629
AASDHPPT,60.2720282941175,-0.367610677975412,0.180433741360204,-2.03737214117587,0.041612763444226,0.14036154691532
AASS,29.7514401916818,-0.217681295734641,0.341647654256633,-0.637151442494981,0.52402620310158,0.773955023120405
AATBC,94.9444500723845,-0.220684705885945,0.325756266603078,-0.677453447595043,0.498118296925518,0.750595585134708
AATF,249.66728376905,0.167747134319835,0.1100706738745,1.5239947972981,0.127510010851755,0.308820534904375
AATK,185.759631467628,0.170291360812927,0.320630149988026,0.53111462168884,0.595339352450306,0.833010589384303
AATK_AS1,6.41867059009743,0.594053823724324,1.41943738512393,0.418513581472604,0.675571658725811,NA
ABALON,114.502115974899,1.09880219213519,0.26034805055964,4.22051246311706,2.43747580125187e-05,0.000772704200279666
ABAT,99.7627549100836,-0.707769825022664,0.238216726418634,-2.97111724967143,0.00296718475039181,0.0219361525065151
ABCA1,800.55180782298,1.21994376002956,0.320552837375792,3.80574937354052,0.000141375488064177,0.00265634502602539
ABCA10,24.3692042164098,-0.0469260933322311,0.435770712053408,-0.107685285023193,0.914245342480748,0.984869304040767
ABCA11P,12.1786416272428,-0.874415820999174,0.277412129270319,-3.15204610302788,0.00162130672289404,0.0142526636751143
ABCA12,34.5346367263384,0.174032962129002,1.13319936757115,0.15357664953698,0.877943549457496,0.973662877002582
ABCA13,121.717552583089,0.338269485928281,0.575113459790278,0.588178697907078,0.556412354120212,0.801829946026805
ABCA17P,14.1771719992965,-0.0506315071082707,0.998210263699624,-0.0507222866258831,0.959546817345914,0.993437488827785
ABCA2,402.588459071914,0.543839535980383,0.241325051276746,2.25355607759396,0.0242241091316744,0.0956168064038213
ABCA3,52.1623122487638,-0.284292336685461,0.451214003629579,-0.630060978601295,0.528654688774955,0.777872793949109
ABCA4,42.3069249009189,0.20866576867033,1.29211502140331,0.161491635971933,0.871706198424731,0.971720933566695
