"","logFC","logCPM","F","PValue","FDR"
"AMER2",-7.81987558668552,-0.149215813391626,74.1965950793747,1.50219795935076e-09,2.66279610274515e-05
"EPS8L3",-7.53658008108717,-0.034248240932811,67.037968795825,4.37544780318444e-09,3.85918394160856e-05
"MATN3",-6.69830500127035,-1.11359378986812,62.7729301531482,8.60248462805532e-09,3.85918394160856e-05
"OPRK1",-7.1975272357031,-0.60200914602125,61.4953308214862,1.05991807889743e-08,3.85918394160856e-05
"LOC441178",-6.85013559816878,-0.998967282412694,59.477277747284,1.48299305104551e-08,3.85918394160856e-05
"USP2",-6.15352482554976,-0.287642976075799,58.3848842450707,1.78449377262095e-08,3.85918394160856e-05
"CYP2C9",-6.81525917680613,-0.997623109033761,58.0248847954828,1.89769721935037e-08,3.85918394160856e-05
"EYA4",-7.01922702034186,-0.449083441044083,57.7756543135183,1.98054934030229e-08,3.85918394160856e-05
"CDH18",-6.9145528493546,-0.887127314650819,57.2944485694191,2.1516524204276e-08,3.85918394160856e-05
"FMN2",-7.25182748053401,-0.280818512302681,57.1220190659606,2.21675020760542e-08,3.85918394160856e-05
"SLC7A14",-7.08200903149027,0.161580712575843,56.6766034934559,2.39484505007865e-08,3.85918394160856e-05
"MROH2B",-7.21977505592216,0.144940311011992,56.0411771097629,2.67585951766212e-08,3.95269048417322e-05
"RAB3B",-7.00542755447667,0.852700056248929,54.5160773019122,3.50450641059837e-08,3.99496681705993e-05
"LYZL4",-6.50347346847584,-1.20868328293374,54.4136543162124,3.56921939723633e-08,3.99496681705993e-05
"OTOG",-7.39415376488044,1.16313771151423,54.0139926065611,3.83421031926115e-08,3.99496681705993e-05
"IL17RD",-6.40701568984974,0.208496313627167,53.8502371397061,3.94878847122108e-08,3.99496681705993e-05
"NPAP1",-6.75412961901136,-0.333127308630531,53.7321110676331,4.03370866871573e-08,3.99496681705993e-05
"LOC101927292",-6.63248741795095,-0.32974437546309,53.40673777814,4.27786627707068e-08,3.99496681705993e-05
"CLLU1OS",-6.13098401133811,-1.35724107527872,53.3768398623336,4.30108061145893e-08,3.99496681705993e-05
"DLGAP2",-6.73167368919221,0.067001214091217,52.5133420988567,5.033126736806e-08,3.99496681705993e-05
"KDR",-6.6762310567803,0.196298074298871,52.3652490414759,5.171526586536e-08,3.99496681705993e-05
"CBLN4",-6.46423639313081,-1.14175740141516,52.3128381016431,5.22147643796414e-08,3.99496681705993e-05
"SLIT3",-6.31896348949982,1.08782261948793,52.0520955972426,5.47775327336136e-08,3.99496681705993e-05
"REM1",-6.20409323366972,-1.25871733961473,51.846101219338,5.6897165988135e-08,3.99496681705993e-05
"DMBX1",-6.42127467119825,-0.648086687093743,51.6978156340822,5.84771538535673e-08,3.99496681705993e-05
"RHO",-6.30598932848766,-0.604445170380297,51.6867379895487,5.85970536181644e-08,3.99496681705993e-05
"PLA2G4E",-6.64089428172572,0.0742767721314297,50.7912335193284,6.92151853365179e-08,4.38446780375591e-05
"SMYD1",-6.95081170373248,-0.243606059314313,50.7879983768369,6.92570791521863e-08,4.38446780375591e-05
"FGF19",-6.12211825887522,-1.44413431015486,50.1776304630102,7.7667433630332e-08,4.58504293149037e-05
"LOC399886",-6.53068387384917,-1.06664155086044,50.0907578383838,7.89505455513435e-08,4.58504293149037e-05
"CALN1",-6.25981053338232,0.382491090631612,49.8672442219747,8.23570943521236e-08,4.58504293149037e-05
"IL36RN",-6.55350354789931,-0.957136185450479,49.6968310793344,8.50597567735228e-08,4.58504293149037e-05
"ADH1C",-6.2621495533789,-1.31810912848102,49.6783522711556,8.53584659478631e-08,4.58504293149037e-05
"LAMA1",-6.98018637897993,0.92471450832796,49.4112873512484,8.98030079894046e-08,4.68190623417702e-05
