"","logFC","logCPM","F","PValue","FDR"
"GADD45B",2.77499473612148,6.41555708794127,47.4027991649687,1.44788524125879e-08,0.000165293171696841
"PFKFB3",2.55673682661136,7.64521541139122,45.3587196928953,2.42460991517401e-08,0.000165293171696841
"PIM3",2.14843413699811,6.7371493831651,44.7493483221302,2.83404133353709e-08,0.000165293171696841
"RELB",1.4941775669645,4.64883953298806,44.2983557105536,3.18321131270725e-08,0.000165293171696841
"HELZ2",1.9981316864193,7.75484696823799,43.6431535166085,3.77263559124573e-08,0.000165293171696841
"IER3",2.19198712200478,3.95125991010795,42.9016973229193,4.57953705057245e-08,0.000165293171696841
"ICAM1",2.17908768699277,6.56217874647184,42.7134516069338,4.81182817049773e-08,0.000165293171696841
"NTNG2",1.96942218887694,4.77141585605234,40.7875517916479,8.03426030127073e-08,0.000219989313531812
"IER5",1.86450650506583,6.21765710630896,40.6964875602977,8.23381777337733e-08,0.000219989313531812
"NXT1",1.9866792575573,3.21918090818911,40.2921435642739,9.18450885168061e-08,0.000220850699847512
"ELL",1.38157323372989,5.91258848393228,39.346193078441,1.18849123944463e-07,0.000244949411880529
"TOM1",1.25302847307549,5.65272569754771,39.0984342913894,1.27212860825933e-07,0.000244949411880529
"IRF7",2.21818917967267,6.37225546090287,38.5270278124265,1.48934455596848e-07,0.000244949411880529
"IFIH1",1.69663931481857,5.8114718069468,38.4951484119827,1.50255111874535e-07,0.000244949411880529
"BCL3",1.70481368351995,4.95547585447313,38.434522652998,1.52800514772018e-07,0.000244949411880529
"GNA15",1.51474505938952,4.42337792008825,37.6797290848834,1.88547717282794e-07,0.000283363650611379
"JUND",1.79298912753316,7.57456634740894,37.1227854001366,2.20468743889012e-07,0.000311846553856187
"ZC3H12A",1.81813923615835,5.39092035501979,36.5143755839693,2.61880288198249e-07,0.000329031322363058
"SESN2",1.88004706701967,4.26224726813004,36.4934490351311,2.63441660684205e-07,0.000329031322363058
"IRAK2",1.94433634083839,4.18686656825415,36.3595114732498,2.73668237846676e-07,0.000329031322363058
"ZBP1",1.69957564032979,5.62429718924431,35.9346918663356,3.08940454342793e-07,0.000339303611384114
"SOCS3",2.27579385418639,6.80736721504427,35.9178479045196,3.10433313251705e-07,0.000339303611384114
"EHD1",1.05702045241533,6.8375615927271,35.05121690769,3.98385646374912e-07,0.000416503532727441
"LGMN",1.468993680583,2.61544706828288,34.7175161748244,4.38881872704923e-07,0.000439723062960941
"NME6",-1.1380976160124,2.80664636024558,34.3639836688519,4.86510969496588e-07,0.000467945710900598
"CD82",1.59193004210116,5.42791409027745,33.998296003653,5.41498536532396e-07,0.000500802838825307
"IPO4",1.40073011873227,4.75903084212375,33.4841145445195,6.30044101366911e-07,0.000551698172438592
"MOV10",1.52436744470091,5.49682885124566,33.4183461838715,6.42416569420302e-07,0.000551698172438592
"NFKBID",1.44163895575335,4.69818292293595,33.2893650190933,6.67424028989519e-07,0.000553409593140758
"PLK3",1.97270688375171,6.18315873618074,32.9712923534667,7.33541834395784e-07,0.000587958231662701
"GTPBP1",1.20269542849139,6.80340838151256,32.7250748782595,7.89408860342135e-07,0.000612326627606032
"CSF1",2.01296783178345,4.26717093308957,32.3083698413495,8.94325344763777e-07,0.000648340929738308
"HERC6",1.32958096681051,4.96578007715415,32.1943488379876,9.2550353982711e-07,0.000648340929738308
"NINJ1",1.37431511797751,5.67359949339157,32.0594455281874,9.63865305664219e-07,0.000648340929738308
"TOMM40L",1.44400715480126,3.74161045997711,32.053829296715,9.65497968615381e-07,0.000648340929738308
"KCNE3",-1.74053736953665,4.44666758819156,31.9446393344233,9.97821190317463e-07,0.000648340929738308
"PPP1R15A",1.96243297625283,7.9210073829406,31.9430481032028,9.98300516663784e-07,0.000648340929738308
"UPP1",1.67759792900468,5.35288765022943,31.8488610096408,1.02710576232965e-06,0.000648340929738308
"RARA",0.975713278671574,6.15962607022511,31.7711108408019,1.05153856191441e-06,0.000648340929738308
"TSC22D2",1.03460623857412,5.19495577529331,31.6094981409729,1.10428973407502e-06,0.0006638437736392
"VEGFA",2.33225837512292,4.58171757424279,31.3202087585994,1.2057404719911e-06,0.000695470831274892
"NFKBIE",1.58962026592906,5.04079305896868,31.2907646529536,1.21659910267102e-06,0.000695470831274892
"BIN3",1.13831218055137,4.78510928300013,31.1755717927374,1.26007323588548e-06,0.000695470831274892
"FBXO39",2.61556210781162,1.39989465395592,31.1261662518338,1.27921395486707e-06,0.000695470831274892
"REC8",1.89254771265744,5.6001426686181,31.0442509935071,1.31162243545842e-06,0.000695470831274892
"ERMP1",-1.11309386413126,3.76179795618001,30.9976640101639,1.3304357580739e-06,0.000695470831274892
"NUDT5",-1.32524832135102,2.85815656494077,30.8293512459979,1.40079106842048e-06,0.000716668553856144
"TNFAIP8L2",-2.2036524975881,3.4724058811663,30.7584325836134,1.43159033368891e-06,0.000717167107580905
"PATL1",0.956359491280659,5.40267005927367,30.6717542040399,1.47019821648864e-06,0.00072022343212327
"ZNF33A",-1.23468726813988,5.58608334276867,30.6116773315673,1.49759509299524e-06,0.00072022343212327
"PLEKHM2",1.06294650511169,5.65652826387722,30.5451036554801,1.52857929136055e-06,0.000720710149805016
"NFKBIA",2.36671222523913,9.127707340916,30.3738979297667,1.61137871773563e-06,0.000737016555031169
"SLC9A8",0.989763592863758,5.36462593081172,30.3476841279297,1.62446466841271e-06,0.000737016555031169
"NFKB2",1.18355992194984,6.14396747076471,30.1817344666725,1.70992756107811e-06,0.000738114877974216
"CMPK2",2.08871952471432,6.02240250553214,30.1111452947597,1.74769385882007e-06,0.000738114877974216
"PDLIM7",1.2230646075036,5.17590694485502,30.0077997221267,1.80456618153105e-06,0.000738114877974216
"ZNF780B",-1.37994210140524,3.99836533211342,29.9743106431141,1.82340815988585e-06,0.000738114877974216
"CSRNP1",1.77472565649644,6.93522051086765,29.9570962665781,1.83317344377969e-06,0.000738114877974216
"GADD45A",1.8389509975907,3.9855184935247,29.9429313794887,1.84124984217404e-06,0.000738114877974216
"DHRS4_AS1",-1.3338310178763,1.73806916561854,29.9384222127149,1.8438286365451e-06,0.000738114877974216
"CSNK1D",1.64113537461312,7.12180160105799,29.8483462342607,1.89614224189197e-06,0.000738114877974216
"ZNF253",-1.17670078047516,2.49498039036426,29.8364793020105,1.90314906572409e-06,0.000738114877974216
"LMTK2",1.26385656815299,6.24715215007387,29.7415038612647,1.96021226465473e-06,0.000741215858079568
"MIR23A",2.55914837785345,2.55947520381831,29.7209514045938,1.9727944322171e-06,0.000741215858079568
