baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	78.8503096987125	-0.183921403673994	0.113616111092736	-1.6187968581663	0.105490978364728	0.178717428772159
A1CF	6.38002848861715	0.435242120616836	0.324549173346163	1.34106679776567	0.179898766033084	0.274960100686064
A2M	41.0679088609061	0.415770809298497	0.239697017992773	1.73456813430625	0.0828173277572556	0.146841450717177
A2ML1	36.0932646688242	0.767277681042419	0.242256752088889	3.1672086512614	0.00153909845735097	0.00494654751429146
A2MP1	40.0523981134133	-1.49703488404419	0.319164107189586	-4.6904863370333	2.72556429785168e-06	2.04119771651338e-05
A3GALT2	11.2450421448866	2.00261411128409	0.598162592088288	3.34794274629013	0.000814138287935348	0.00288205988083814
A4GALT	3.9213291467502	0.306770686492046	0.639257419599983	0.479886000672482	0.631308456188445	0.721833018653335
A4GNT	1.27733598814955	0.685998263957548	0.896170175143459	0.765477677102715	0.443987154097181	0.557610049605489
AAAS	931.452606062137	-0.0929784714609588	0.0939467467063172	-0.989693360554727	0.322324021214559	0.436666102751327
AACS	457.698558651967	0.013103620361029	0.0971323128265635	0.134904852769505	0.892687102673736	0.925912028077398
AACSP1	3.01052050512341	0.117651532131702	0.421851378905987	0.278893321237483	0.780326694150835	0.843345952110759
AADAC	0.0563672503928523	0.259324915416091	3.78206298580888	0.0685670535866626	0.945334244551582	NA
AADACL2	0.620179020198991	-0.382970765174876	2.12447303330441	-0.18026623975509	0.856943558237054	0.900059199646447
AADACL3	0.631833042213602	0.48566562583931	0.839452755194532	0.578550279136035	0.562892662184418	0.663901001158352
AADACL4	0.0170077103702141	-0.225934930204369	3.78206298580888	-0.0597385424441966	0.952363874104309	NA
AADACP1	0.105335042316381	0.456064519477572	3.12736390105717	0.145830333119662	0.884055329509065	NA
AADAT	1.09187479734952	-0.797711442083801	0.689686816747681	-1.15662851994986	0.247424164952465	0.353565040226587
AAGAB	1455.95975471238	-0.0450929900153972	0.084682503266127	-0.532494769004241	0.594383363842765	0.691225791000423
AAK1	3323.01320045082	-0.388050422108177	0.10048753763066	-3.86167709208329	0.000112611341172585	0.000520130485072047
AAMDC	99.8160085495473	0.000445484357013129	0.116749933460765	0.00381571401205841	0.996955508089143	0.997695475604139
AAMP	1587.35019399772	-0.256286616149342	0.0956256225820006	-2.68010402682159	0.00735992838452613	0.0190580259387933
AANAT	48.7234835249537	1.80425053518956	0.348846726730339	5.17204375715488	2.31547341849316e-07	2.41732115298405e-06
AAR2	1021.39947325685	-0.196424485398864	0.0960099785109413	-2.04587573547347	0.0407685982088702	0.0816102644413554
AARD	9.12704212106421	0.410110643760892	0.249259143165805	1.64531835643875	0.0999041762859707	0.171059335711214
AARS1	2878.49018030133	0.632015849769864	0.187442933786538	3.37177740980949	0.000746847823172908	0.00266885273563712
AARS2	339.040305429541	0.0303186724774882	0.129195188647315	0.23467338679503	0.814462245210348	0.86919897357545
AARSD1	380.445426644728	-0.155326906433789	0.134125611435971	-1.15807044434566	0.246835290120762	0.35288187196168
AASDH	448.066694142165	-0.484722061403022	0.119651021624724	-4.05113182337309	5.09704798779073e-05	0.000260938426837645
AASDHPPT	1296.63819708522	-0.415717965882101	0.1247151568639	-3.33333955820436	0.000858101465617202	0.00301186589671529
AASS	39.1968420203968	-0.237912635105926	0.286060512396511	-0.831686390801653	0.405585984333722	0.520548536343273
AATF	2566.83425414022	0.142377051959699	0.0930164811041714	1.53066478402089	0.125852261546039	0.206132542695338
AATK	2789.18650974576	1.49832204793347	0.292615328138678	5.12044962738032	3.04808030325398e-07	3.07358436730201e-06
ABAT	1261.2114154041	0.208810711880904	0.158364820037674	1.31854228629331	0.187322179185416	0.28410530509788
ABCA1	4710.50437421953	1.79348631354601	0.278389884979638	6.44235444717105	1.17634160304904e-10	2.96680271945456e-09
ABCA10	36.9035729672399	0.0830563901881548	0.183141690828701	0.453508918763016	0.650182322610895	0.737550365452829
ABCA11P	53.2736740681481	-0.840235952893551	0.204128247697471	-4.11621596898645	3.85143435823533e-05	0.000204155323387676
ABCA12	0.523066534607588	1.11282759922859	1.24772814206527	0.891883064676746	0.372455612856829	0.488033963481811
ABCA13	1104.34430014995	3.29170492827378	0.594184282023807	5.53987210341907	3.02692628563985e-08	4.05804699569094e-07
ABCA17P	6.06187430450325	-0.574271303678574	0.280256096798465	-2.04909477523887	0.0404528482993342	0.0810693260974073
