"DMRnumber"	"chr"	"st"	"end"	"intercept"	"f"	"pval"	"qval"
"7063"	"chr16"	1519763	1520003	-4.46202049034143	33.3635133930078	1.18757750620135e-05	0.126568113300373
"9617"	"chr1"	2996380	2996625	5.27499936825178	29.2113403442376	2.73042836939391e-05	0.126568113300373
"199"	"chr8"	102457573	102457760	2.67148766248233	26.8568118856416	4.52603497508688e-05	0.126568113300373
"6826"	"chr18"	46306722	46306961	5.19683147949327	26.7916490993471	4.59151332777121e-05	0.126568113300373
"12863"	"chr22"	49850852	49851141	5.80367483762466	23.4546021248984	9.86930225937471e-05	0.217643095404715
"4779"	"chr13"	41364743	41364968	5.77758381022765	21.9512506281368	0.000142216304769693	0.224756018982233
"3208"	"chr12"	115188727	115188896	-1.68438108654068	21.8607298631548	0.000145443894750537	0.224756018982233
"2665"	"chr10"	120246545	120246745	-1.24011684254813	21.0446703680955	0.000178479582297203	0.224756018982233
"3592"	"chr11"	118490833	118491131	1.30338664273682	20.7239518675549	0.000193661543903329	0.224756018982233
"2111"	"chr10"	69560378	69560648	6.65821148275179	20.2274854319738	0.000220050313336102	0.224756018982233
"5511"	"chr19"	51207885	51208195	-3.38604975169206	19.9048336264359	0.000239316881113579	0.224756018982233
"12603"	"chr22"	43513966	43514284	2.68112605947355	19.5359266358813	0.000263658161080042	0.224756018982233
"10710"	"chr2"	242244697	242245127	5.08498978233378	19.5168662265273	0.00026498801686054	0.224756018982233
"4786"	"chr13"	24820659	24821062	1.31273475466632	18.5062989766615	0.000347323652491516	0.273548773650716
"8591"	"chr17"	9264059	9264312	-0.270955068211853	17.9620878621326	0.000403095221490641	0.296308997476622
