"DMRnumber"	"chr"	"st"	"end"	"intercept"	"f"	"pval"	"qval"
"7478"	"chr20"	60751975	60752320	2.15193943959776	38.3383174482507	2.80454766352584e-07	0.00185487185945385
"12381"	"chr17"	5882814	5883013	2.01685193509159	36.4264644390727	4.62393883125201e-07	0.00185487185945385
"11235"	"chr1"	25472270	25472754	0.310954390772117	33.7372632270146	9.55937291315123e-07	0.0020346274438753
"4140"	"chr9"	139414758	139415013	0.874015782639546	32.835518102011	1.22730154374433e-06	0.0020346274438753
"12168"	"chr17"	37887321	37887546	0.576950607949821	32.7186337665715	1.268011156258e-06	0.0020346274438753
"7490"	"chr20"	32716846	32717096	3.25890579329428	28.3666739486891	4.45624299639742e-06	0.00595867148085938
"514"	"chr22"	49552622	49552877	-1.80838038557911	27.1200577883041	6.49042302767565e-06	0.00659354930315915
"12528"	"chr5"	150044642	150044875	1.11972752527706	26.5770624515144	7.66372855197584e-06	0.00659354930315915
"12335"	"chr17"	7969764	7970103	0.960276185457709	26.2764919634024	8.40745511930198e-06	0.00659354930315915
"1452"	"chr2"	204392229	204392436	-0.795363342683664	26.0778541995476	8.94040744213965e-06	0.00659354930315915
"10107"	"chr21"	45349093	45349785	1.4986611102204	26.0420342041027	9.04024322585607e-06	0.00659354930315915
"2681"	"chr8"	31248689	31249068	0.146295718968555	25.2986387694579	1.14004823029023e-05	0.00749650727107073
"9388"	"chr19"	2545875	2546061	0.485642212447546	24.603739922612	1.41984269025021e-05	0.00749650727107073
"7821"	"chr20"	61520335	61520580	0.795479507762527	24.4145081830005	1.50796843708583e-05	0.00749650727107073
"8787"	"chr4"	37646567	37646878	1.93390160109307	24.1657269417129	1.63268862797579e-05	0.00749650727107073
"8853"	"chr4"	16864426	16864787	0.967745147697271	24.04445157009	1.69738516272227e-05	0.00749650727107073
"240"	"chr3"	186333376	186334293	0.972119934527868	23.9389876854023	1.75584351751276e-05	0.00749650727107073
"10687"	"chr1"	28578090	28578384	0.0971218908760133	23.9096933343296	1.77245509551038e-05	0.00749650727107073
"6828"	"chr12"	123326580	123326860	0.294005444723128	23.9046410507822	1.77533673542762e-05	0.00749650727107073
"7515"	"chr20"	33418895	33419152	2.24023596145387	23.5215658970681	2.00887889722278e-05	0.00777330570196982
"1188"	"chr2"	10512202	10512883	2.53948536983074	23.4821747300467	2.03466640535318e-05	0.00777330570196982
"498"	"chr22"	37324271	37324640	0.751825265127922	23.1942142502118	2.23410917568086e-05	0.00798344115771279
"2602"	"chr11"	73451662	73451880	0.874864611226241	23.1201273043184	2.28868559821096e-05	0.00798344115771279
"9312"	"chr19"	7559082	7559445	0.615813281604699	22.8013355582281	2.54006616771596e-05	0.00849113246590283
"6824"	"chr12"	128808202	128808389	-4.50199125573335	22.3530844005273	2.94386498085625e-05	0.00916636618230701
"11652"	"chr17"	21119584	21119843	5.83114224343282	22.3257704730177	2.97056269469858e-05	0.00916636618230701
"7290"	"chr6"	43889672	43890090	0.0415816544238805	22.0810946753902	3.22141781749891e-05	0.00945269803472645
"2407"	"chr11"	3174790	3175044	2.6552375915571	22.0094773596311	3.29899751253098e-05	0.00945269803472645
"7034"	"chr6"	74257828	74258215	1.04290870977845	21.7093281604347	3.64620957542977e-05	0.0100873120812436
"4902"	"chr13"	32549213	32549538	2.65539961211612	21.5244383060023	3.8790960185118e-05	0.010373877203603
"9058"	"chr4"	84022256	84022519	5.57322020606037	21.3551880729949	4.10605298896417e-05	0.0106266085712537
"8616"	"chr16"	25697953	25698200	1.54398911019871	21.1959279397864	4.33242428177829e-05	0.0108620758415575
"9989"	"chr21"	46892043	46893387	0.91108686113847	20.7198580705054	5.09107091779055e-05	0.0123773318422536
"8254"	"chr16"	72981881	72982252	1.21687193313608	20.3085784990373	5.85937307657195e-05	0.0135635190702985
"464"	"chr3"	179399325	179399632	5.65890311137254	20.2479329161623	5.98262772749721e-05	0.0135635190702985
"4837"	"chr13"	28544411	28544871	-6.03276131324693	20.1980032646749	6.08615565308563e-05	0.0135635190702985
"9882"	"chr19"	3603049	3603682	2.35117517003244	19.9428418910291	6.64554934268068e-05	0.0144099007901601
"3893"	"chr10"	22922557	22922934	6.46449800227038	19.7675221170722	7.06116931785599e-05	0.0148064278534808
"4358"	"chr9"	128763959	128764159	1.2851370657522	19.7123671250806	7.19752320851962e-05	0.0148064278534808
"5942"	"chr18"	47254451	47254779	0.641605686319137	19.2201004677399	8.54493407734804e-05	0.0171388056150708
"2680"	"chr8"	42395147	42395306	3.17240994883026	19.0499726495058	9.07046204490602e-05	0.0176233211981203
"8604"	"chr16"	3728092	3728393	0.926832054812253	19.0016645034434	9.22582514244292e-05	0.0176233211981203
